dataset,encoder,representation,n_way,k_shot,seed,q_query_train,q_query_test,episodes_train,episodes_eval,epochs,best_epoch,accuracy_mean,ci95,eval_loss,train_samples,test_samples,classes,checkpoint
libras_alphabet,transformer,angle,5,1,1337,5,5,600,600,5,5,0.983133,0.003145,0.053666,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_transformer_angle_1shot.pt
libras_alphabet,transformer,angle,5,3,1337,5,5,600,600,5,5,0.989800,0.002117,0.030995,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_transformer_angle_3shot.pt
libras_alphabet,transformer,angle,5,5,1337,5,5,600,600,5,5,0.992933,0.001565,0.021177,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_transformer_angle_5shot.pt
thai_fingerspelling,transformer,angle,5,1,1337,5,5,600,600,5,5,0.688400,0.012050,0.856995,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_transformer_angle_1shot.pt
thai_fingerspelling,transformer,angle,5,3,1337,5,5,600,600,5,5,0.797600,0.009603,0.542968,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_transformer_angle_3shot.pt
thai_fingerspelling,transformer,angle,5,5,1337,5,5,600,600,5,5,0.819200,0.008923,0.467796,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_transformer_angle_5shot.pt
asl_alphabet,transformer,raw_angle,5,1,1337,5,5,600,600,5,5,0.981533,0.003766,0.053270,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_transformer_raw_angle_1shot.pt
asl_alphabet,transformer,raw_angle,5,3,1337,5,5,600,600,5,5,0.987067,0.002797,0.034316,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_transformer_raw_angle_3shot.pt
asl_alphabet,transformer,raw_angle,5,5,1337,5,5,600,600,5,5,0.988133,0.002270,0.038575,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_transformer_raw_angle_5shot.pt
arabic_sign_alphabet,transformer,raw_angle,5,1,1337,5,5,600,600,5,5,0.963333,0.004872,0.103186,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_transformer_raw_angle_1shot.pt
